rank,asset,weight,1d_weight,4h_weight,1h_weight,15m_weight,1m_weight
95,RIF,0.0025893802067971706,0.0013627274489965936,0.0017904723695584517,0.0018276352876687278,0.003116152543363673,0.0048499133843984054
96,RATS,0.002525863066272242,0.009174957328527474,0.0009995376766913705,0.0015350844424326772,0.0009197358837096887,0
97,AERGO,0.002509330730555034,0.0034018547504516355,0.002641913490715927,0.003477791505757419,0.0030250939058501882,0
98,PLAY,0.002487368851720805,0,0.008969249601577864,0,0.0034675946570261597,0
99,IDOL,0.0024441261365924817,0.004955452300953478,0.002136868550285186,0.002534713653205109,0.0019920269283697535,0.0006015692501488794
100,ALCH,0.002369049520396737,0.0093995669729332,0.0010508772597820023,0.001394803369268479,0,0
101,TRADOOR,0.0022453115223852287,0,0.0028829204989512082,0.0024079148953879627,0.003467294158045078,0.0024684280595418944
102,TLM,0.0022285907938269186,0,0.0007211942820567687,0.0039727503155617865,0.006449009371516038,0
103,EPIC,0.002209937524835748,0.0036236795936578033,0.002819814536970899,0.002141061376147234,0.0024651321174028033,0
104,DRIFT,0.00217405395999932,0.00914500782929342,0.00172526197070318,0,0,0
105,PARTI,0.0020625445544429043,0.004432210880756659,0.0014220025411134773,0.0022327358167718047,0.001341062283888827,0.0008847112496837522
106,FOLKS,0.0019475427764700688,0,0.00390402339366294,0.0022066872209488384,0.0015833155316747507,0.0020436877360638143
107,JTO,0.0019387593326549081,0,0.005263457512580334,0.0030469568089700003,0,0.0013833823417242063
108,HEI,0.001935467506881521,0.0025493407973494805,0.003532395988317889,0.0019025739158905308,0.0013529038480548173,0.00034012298479488794
109,PHAROS,0.0018989952812359222,0,0.003337079539560292,0.0011115480631197453,0.003708671462902586,0.0013376773405969877
110,DODO,0.00181099654842004,0,0.0005665923361189472,0.0033262834795999142,0.0014136651470396007,0.0037484417793417378
111,POWER,0.0018043437810539012,0,0.003241642408650621,0.0026512226525437247,0,0.0031288538440751587
112,TOWNS,0.0017950139624995395,0,0,0.003390537062067237,0.0055845327504304605,0
113,SPACE,0.001742425651546278,0,0.0034199133422730807,0,0.0025195953512441244,0.0027726195642141837
114,AIN,0.0017160940317810691,0.005365936003730746,0.001226417853566853,0.0009814621567676694,0.0010066541448400766,0
115,STABLE,0.0017023688428352806,0,0.0033809118451513373,0.0017067439083535076,0.0012715370897891049,0.0021526513708824534
116,TREE,0.001698334431641927,0,0,0.006645562331528125,0.0018461098266815096,0
